NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,CUSINE TYPE,RATING,VOTES
Wow Vada Pav,200,"['Street Food', 'Wraps', 'Burger']",Agra,Sikandra,https://www.zomato.com/agra/wow-vada-pav-sikandra/info,Quick Bites,3.3,4.0
Sprinkle Bakery And Fast Food,200,"['Bakery', 'Fast Food']",Agra,Sikandra,https://www.zomato.com/agra/sprinkle-bakery-and-fast-food-sikandra/info,Bakery,0.0,0.0
Speise Restaurant,500,"['Biryani', 'Chinese', 'Mughlai', 'Indian']",Agra,Tajganj,https://www.zomato.com/agra/speise-restaurant-tajganj/info,Casual Dining,3.3,9.0
Sagra,200,['Fast Food'],Agra,Agra Cantt,https://www.zomato.com/agra/sagra-agra-cantt/info,Quick Bites,3.4,13.0
Dr Cake And Confectionery,150,['Fast Food'],Agra,Kamla Nagar,https://www.zomato.com/agra/dr-cake-and-confectionery-kamla-nagar/info,Quick Bites,3.3,9.0
Isha Food Plaza,150,"['Fast Food', 'Bakery']",Agra,Dayal Bagh,https://www.zomato.com/agra/isha-food-plaza-dayal-bagh/info,Quick Bites,3.3,9.0
Taste And Food,150,['North Indian'],Agra,Sikandra,https://www.zomato.com/agra/taste-and-food-sikandra/info,Quick Bites,0.0,0.0
Food Paradise,200,"['Bakery', 'Desserts']",Agra,Sikandra,https://www.zomato.com/agra/food-paradise-sikandra/info,Bakery,3.1,4.0
Club 2100,300,['Fast Food'],Agra,Kamla Nagar,https://www.zomato.com/agra/club-2100-kamla-nagar/info,Quick Bites,3.3,12.0
FCB Fast Food Corner,300,['Fast Food'],Agra,Tajganj,https://www.zomato.com/agra/fcb-fast-food-corner-tajganj/info,Quick Bites,3.2,9.0
Habova's BL Food Plaza,350,"['Chinese', 'Indian', 'North Indian']",Agra,Sikandra,https://www.zomato.com/agra/habovas-bl-food-plaza-sikandra/info,Quick Bites,3.2,14.0
Rola Wala,400,"['Rolls', 'Chinese', 'Momos']",Agra,Khandari,https://www.zomato.com/agra/rola-wala-1-khandari/info,Quick Bites,3.6,96.0
Amartsari Naan Thali,200,['North Indian'],Agra,Civil Lines,https://www.zomato.com/agra/amartsari-naan-thali-civil-lines/info,Quick Bites,3.0,6.0
Chinu Restaurant,400,['North Indian'],Agra,Kamla Nagar,https://www.zomato.com/agra/chinu-restaurant-kamla-nagar/info,Casual Dining,3.1,6.0
